country,country_code,co2,code,emission,year
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.353319049,1960
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.406265745,1961
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.352488844,1962
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.357219816,1963
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.33915417,1964
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.36991828,1965
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.341005435,1966
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.353127674,1967
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.35759109,1968
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.405192461,1969
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.404161267,1970
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.410996745,1971
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.426842455,1972
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.447628364,1973
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.433879489,1974
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.435098306,1975
Indonesia,IDN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.466260919,1976
